Microsoft Windows [Version 10.0.15063]
(c) 2017 Microsoft Corporation. All rights reserved.

C:\WINDOWS\system32>cd C:\pyfiles

C:\PYFiles>python ethbtc2.py
--------------------------------------------------
BITCOIN PRICE TRACKER v1.2
Definition of Ratios:
R1 = % spread between Bitstamp(ASK)/Gemini(BID)
R2 = % spread between Bitstamp(ASK)/GDAX(BID)
R3 = % spread between Gemini(ASK)/Bitstamp(BID)
R4 = % spread between Gemini(ASK)/GDAX(BID)
R5 = % spread between GDAX(ASK)/Bitstamp(BID)
R6 = % spread between GDAX(ASK)/Gemini(BID)
--------------------------------------------------
R1 (Time --- Spread): 2017-08-25T12:43:02.031000-07:00 --- 0.1507
R1 (Time --- Spread): 2017-08-25T12:43:03.790000-07:00 --- 0.1507
R1 (Time --- Spread): 2017-08-25T12:43:05.529000-07:00 --- 0.1507
R1 (Time --- Spread): 2017-08-25T12:43:07.184000-07:00 --- 0.1507
R1 (Time --- Spread): 2017-08-25T12:43:08.961000-07:00 --- 0.1507
R1 (Time --- Spread): 2017-08-25T12:43:10.930000-07:00 --- 0.1507
R1 (Time --- Spread): 2017-08-25T12:43:12.645000-07:00 --- 0.1507
R1 (Time --- Spread): 2017-08-25T12:43:14.183000-07:00 --- 0.1507
R1 (Time --- Spread): 2017-08-25T12:43:15.924000-07:00 --- 0.1374
R1 (Time --- Spread): 2017-08-25T12:43:17.629000-07:00 --- 0.1374
R1 (Time --- Spread): 2017-08-25T12:43:19.413000-07:00 --- 0.1374
R1 (Time --- Spread): 2017-08-25T12:43:21.294000-07:00 --- 0.1373
R1 (Time --- Spread): 2017-08-25T12:43:23.045000-07:00 --- 0.1373
R1 (Time --- Spread): 2017-08-25T12:43:24.783000-07:00 --- 0.1373
R1 (Time --- Spread): 2017-08-25T12:43:26.545000-07:00 --- 0.1373
R1 (Time --- Spread): 2017-08-25T12:43:28.110000-07:00 --- 0.1373
R1 (Time --- Spread): 2017-08-25T12:43:29.919000-07:00 --- 0.1373
R1 (Time --- Spread): 2017-08-25T12:43:31.991000-07:00 --- 0.1373
R1 (Time --- Spread): 2017-08-25T12:45:20.597000-07:00 --- 0.1786
R2 (Time --- Spread): 2017-08-25T12:45:20.598000-07:00 --- 0.1786
R1 (Time --- Spread): 2017-08-25T12:45:22.225000-07:00 --- 0.1786
R2 (Time --- Spread): 2017-08-25T12:45:22.241000-07:00 --- 0.1786
R1 (Time --- Spread): 2017-08-25T12:45:24.209000-07:00 --- 0.1786
R2 (Time --- Spread): 2017-08-25T12:45:24.221000-07:00 --- 0.1786
R1 (Time --- Spread): 2017-08-25T12:45:26.056000-07:00 --- 0.1786
R2 (Time --- Spread): 2017-08-25T12:45:26.056000-07:00 --- 0.1786
R1 (Time --- Spread): 2017-08-25T12:45:28.796000-07:00 --- 0.1653
R2 (Time --- Spread): 2017-08-25T12:45:28.797000-07:00 --- 0.1786
R3 (Time --- Spread): 2017-08-25T12:45:28.815000-07:00 --- 0.2001
R4 (Time --- Spread): 2017-08-25T12:45:28.827000-07:00 --- 0.2401
R1 (Time --- Spread): 2017-08-25T12:45:30.557000-07:00 --- 0.1653
R2 (Time --- Spread): 2017-08-25T12:45:30.557000-07:00 --- 0.1786
R3 (Time --- Spread): 2017-08-25T12:45:30.578000-07:00 --- 0.1076
R4 (Time --- Spread): 2017-08-25T12:45:30.588000-07:00 --- 0.1475
R1 (Time --- Spread): 2017-08-25T12:45:32.171000-07:00 --- 0.1653
R2 (Time --- Spread): 2017-08-25T12:45:32.198000-07:00 --- 0.1786
R1 (Time --- Spread): 2017-08-25T12:45:34.209000-07:00 --- 0.1652
R2 (Time --- Spread): 2017-08-25T12:45:34.228000-07:00 --- 0.1786
R1 (Time --- Spread): 2017-08-25T12:45:35.956000-07:00 --- 0.1652
R2 (Time --- Spread): 2017-08-25T12:45:35.971000-07:00 --- 0.1785
R1 (Time --- Spread): 2017-08-25T12:45:37.722000-07:00 --- 0.1652
R2 (Time --- Spread): 2017-08-25T12:45:37.730000-07:00 --- 0.1785
R1 (Time --- Spread): 2017-08-25T12:45:39.300000-07:00 --- 0.1652
